timestamp,gaze2d_x,gaze2d_y,pupildiameter,Corrected_Gaze_X,Corrected_Gaze_Y,Velocity_Y,Amplitude_X
25.031365,0.4882,0.4865,3.476000000000001,673.6160011992224,345.88434550629836,354.2400904375527,41.221422998612525
25.051456,0.488,0.4802,3.5900000000000007,669.6584778774854,322.4542869582224,1166.196732271918,41.221422998612525
25.071437,0.4877,0.4805,3.5950000000000006,667.7175431313026,323.82530695071046,68.61618500016131,44.12849063310841
25.091529,0.4873,0.4811,3.597000000000001,665.2115860386771,326.4023819727897,128.26373790956814,44.12849063310841
25.111509,0.4868,0.4804,3.5870000000000006,661.484959381326,324.1931251010369,110.5734170046435,44.12849063310841
25.131602,0.4843,0.4819,3.5990000000000006,644.9007236517064,331.87304987796733,382.2189208645153,44.12849063310841
25.151582,0.4833,0.4811,3.613000000000001,637.69333804386,329.70168123074563,108.67710947055365,44.12849063310841
25.171675,0.4836,0.4813,3.608000000000001,639.8391625457566,330.20328215182667,24.963963623204798,44.12849063310841
25.191654,0.4838,0.4823,3.5940000000000007,641.6248544569253,333.78355901606733,179.2020053176227,44.12849063310841
25.211747,0.4833,0.482,3.600000000000001,638.0621396041452,333.07239887517017,35.39342760648934,44.12849063310841
25.231728,0.483,0.4836,3.577000000000001,636.6539182228184,339.3122332429389,312.28839236115726,44.12849063310841
25.251819,0.4835,0.4904,3.451000000000001,642.8801998998806,364.36746526023785,1247.0873534069008,44.12849063310841
25.271799,0.4833,0.4839,3.5580000000000007,638.8407206758584,340.1883583467338,1210.165511186368,39.86915061089985
25.291892,0.483,0.4846,3.561000000000001,637.0636977342465,343.05747507007754,142.79185404587815,35.91162728916288
25.311873,0.4825,0.4849,3.5660000000000007,633.7468505883226,344.5934600254636,76.87227643192296,33.97069254298003
25.331964,0.4828,0.4912,3.4490000000000007,638.3923301099303,367.94103609209105,1162.0912879710595,31.46473545035451
25.351944,0.4843,0.4932,3.4250000000000007,649.5312321308425,374.1942825246351,312.97529692412263,29.987960929584915
25.372037,0.4843,0.4933,3.420000000000001,649.5722100819853,374.56880670734927,18.639535296578604,29.987960929584915
25.392017,0.4844,0.4946,3.4050000000000007,650.7928796467122,379.35513860118067,239.55615084240856,29.987960929584915
25.41211,0.4857,0.4998,3.278000000000001,661.867163704454,397.75812384346636,915.8903718850536,29.987960929584915
25.432089,0.4858,0.4992,3.2840000000000007,662.3092521974668,395.4284962657341,116.60381289013067,87.73767066420305
25.452183,0.4849,0.4987,3.3130000000000006,655.9127566429192,394.2982176852049,56.24955611272905,285.54203123476236
25.472162,0.4854,0.4927,3.415000000000001,656.8938605737035,371.4143543151281,1145.3958341297173,285.54203123476236
25.492254,0.4857,0.4985,3.3120000000000007,661.3344503395974,392.88930946818573,1068.8311344345777,285.54203123476236
25.512234,0.4858,0.4999,3.278000000000001,662.5960978554667,398.05016554473104,258.30110493219365,285.54203123476236
25.532327,0.4859,0.5001,3.265000000000001,663.3660099576223,398.7167314287103,33.174034936510175,285.54203123476236
25.552307,0.4859,0.501,3.266000000000001,663.7348115179075,402.08744907313485,168.70458680803176,285.54203123476236
25.5724,0.4844,0.4945,3.4140000000000006,650.7519016955694,378.98061441846653,1149.9942594271229,280.8965517131546
