timestamp,gaze2d_x,gaze2d_y,pupildiameter
24.229915,0.484200,0.489900,3.3850000000000007
24.250008,0.484700,0.490200,3.3690000000000007
24.269986,0.484100,0.489800,3.3890000000000007
24.290079,0.484200,0.490300,3.3730000000000007
24.310059,0.484400,0.490900,3.3690000000000007
24.330152,0.485800,0.480200,3.499000000000001
24.350132,0.486800,0.481000,3.488000000000001
24.370224,0.486300,0.474200,3.6060000000000008
24.390205,0.486200,0.474800,3.605000000000001
24.410297,0.485700,0.475500,3.601000000000001
24.430277,0.484800,0.474400,3.6140000000000008
24.450370,0.484200,0.473800,3.625000000000001
24.470349,0.482600,0.467900,3.4930000000000008
24.490442,0.482200,0.468100,3.496000000000001
24.510421,0.483200,0.469900,3.487000000000001
24.530516,0.481300,0.481000,3.358000000000001
24.550494,0.481000,0.481300,3.366000000000001
24.570588,0.481400,0.488100,3.246000000000001
24.590567,0.477400,0.477600,3.3560000000000008
24.610660,0.479100,0.471500,3.463000000000001
24.630640,0.479200,0.472000,3.460000000000001
24.650732,0.479400,0.472800,3.4530000000000007
24.670711,0.481600,0.482400,3.4660000000000006
24.690806,0.481600,0.481800,3.4740000000000006
24.710784,0.481700,0.481200,3.479000000000001
24.730876,0.482500,0.481800,3.4580000000000006
24.750857,0.482800,0.482100,3.452000000000001
24.770949,0.482900,0.475600,3.559000000000001
24.790929,0.487100,0.488400,3.4420000000000006
24.811022,0.484600,0.489100,3.4580000000000006
24.831002,0.486100,0.496300,3.322000000000001
24.851094,0.485700,0.495500,3.3400000000000007
24.871074,0.486300,0.495700,3.3400000000000007
24.891167,0.486000,0.482700,3.537000000000001
24.911147,0.487500,0.485900,3.5260000000000007
24.931239,0.488500,0.476200,3.6550000000000007
24.951220,0.488300,0.477200,3.644000000000001
24.971312,0.488100,0.483300,3.557000000000001
24.991292,0.487500,0.481800,3.571000000000001
25.011384,0.488700,0.488500,3.448000000000001
25.031365,0.488200,0.486500,3.476000000000001
25.051456,0.488000,0.480200,3.5900000000000007
25.071437,0.487700,0.480500,3.5950000000000006
25.091529,0.487300,0.481100,3.597000000000001
25.111509,0.486800,0.480400,3.5870000000000006
25.131602,0.484300,0.481900,3.5990000000000006
25.151582,0.483300,0.481100,3.613000000000001
25.171675,0.483600,0.481300,3.608000000000001
